"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"24-Mar-2015","    12708.10","    12893.05","    12682.70","    12853.45","        7908490","         1085.36"
"25-Mar-2015","    12994.60","    13051.85","    12869.40","    12919.45","       10013874","         1309.46"
"26-Mar-2015","    12870.30","    12887.90","    12623.20","    12676.85","       11016720","         1363.09"
"27-Mar-2015","    12746.50","    12746.50","    12480.30","    12588.55","        9205401","         1070.28"
"30-Mar-2015","    12704.05","    12751.25","    12623.60","    12703.80","        6354384","          785.00"
"31-Mar-2015","    12761.10","    12886.80","    12729.30","    12844.80","        8173327","          977.21"
"01-Apr-2015","    12881.30","    13190.00","    12868.20","    13136.20","        9358763","         1108.16"
"06-Apr-2015","    13244.55","    13865.40","    13234.80","    13807.10","       13054081","         1606.63"
"07-Apr-2015","    13889.20","    14020.70","    13645.05","    13778.25","       10963529","         1410.82"
"08-Apr-2015","    13882.90","    13910.15","    13700.20","    13831.15","       13538943","         1687.98"
"09-Apr-2015","    13911.80","    13911.80","    13453.45","    13545.90","        9682300","         1298.71"
"10-Apr-2015","    13542.40","    13598.20","    13370.90","    13505.90","       10414609","         1372.07"
"13-Apr-2015","    13521.70","    13745.40","    13444.00","    13722.85","        8330529","         1033.96"
"15-Apr-2015","    13782.60","    13782.60","    13428.35","    13480.95","       10189934","         1342.56"
"16-Apr-2015","    13489.65","    13494.55","    13135.30","    13248.65","       11603987","         1466.19"
"17-Apr-2015","    13251.70","    13275.05","    12765.25","    12809.15","       14689330","         1944.31"
"20-Apr-2015","    12882.95","    12967.95","    12699.90","    12753.85","       12629238","         1534.11"
"21-Apr-2015","    12419.20","    12468.80","    12182.55","    12284.00","      272526140","        25694.13"
"22-Apr-2015","    12365.20","    12490.95","    12258.85","    12431.35","       18251956","         1989.35"
"23-Apr-2015","    12529.25","    12532.15","    12271.15","    12293.05","       16611295","         1685.39"
"24-Apr-2015","    12311.25","    12327.70","    12186.35","    12210.00","       16375889","         1719.45"
"27-Apr-2015","    12255.70","    12261.20","    11863.60","    11908.20","       13692644","         1526.40"
"28-Apr-2015","    11866.15","    12016.75","    11772.70","    11984.60","       11773344","         1263.99"
"29-Apr-2015","    11988.45","    12116.10","    11981.90","    12042.90","       12027809","         1292.03"
"30-Apr-2015","    11985.45","    12109.30","    11874.15","    12057.80","       25335761","         2718.89"
"04-May-2015","    12149.30","    12389.30","    12146.05","    12333.60","       14844979","         1518.62"
"05-May-2015","    12354.20","    12405.75","    12288.05","    12391.70","       10212306","         1117.83"
"06-May-2015","    12363.80","    12363.80","    11997.25","    12037.65","       13875280","         1486.09"
"07-May-2015","    11998.00","    11998.00","    11777.65","    11873.55","       11088199","         1260.75"
"08-May-2015","    11981.00","    12151.40","    11953.85","    12104.70","       12075251","         1261.71"
"11-May-2015","    12207.85","    12358.75","    12165.00","    12317.50","       12690565","         1447.46"
"12-May-2015","    12333.10","    12343.45","    12172.55","    12250.70","       11734683","         1512.01"
"13-May-2015","    12326.80","    12450.05","    12202.55","    12261.40","       12513750","         1693.76"
"14-May-2015","    12234.10","    12270.70","    12156.75","    12238.80","       11869046","         1471.56"
"15-May-2015","    12182.30","    12315.15","    12149.95","    12294.65","        9296065","         1183.83"
"18-May-2015","    12327.15","    12512.50","    12325.55","    12486.00","        6812439","          915.16"
"19-May-2015","    12479.25","    12566.75","    12390.15","    12502.35","        7396297","         1014.65"
"20-May-2015","    12562.25","    12603.35","    12506.20","    12537.05","        8720994","         1131.93"
"21-May-2015","    12560.75","    12576.85","    12444.75","    12554.75","       10281409","         1196.85"
"22-May-2015","    12565.65","    12710.30","    12502.50","    12690.10","        9526949","         1111.99"
"25-May-2015","    12708.25","    12729.65","    12594.85","    12617.55","        6897945","          913.88"
"26-May-2015","    12636.40","    12637.00","    12493.70","    12559.05","        8562413","         1185.51"
"27-May-2015","    12522.55","    12596.95","    12467.10","    12506.05","        9168977","         1159.86"
"28-May-2015","    12521.20","    12525.70","    12282.00","    12311.90","       16022929","         1815.67"
"29-May-2015","    12405.90","    12563.85","    12336.60","    12511.75","       40553422","         6207.29"
"01-Jun-2015","    12184.70","    12195.40","    12040.40","    12079.80","       21062091","         2038.09"
"02-Jun-2015","    12149.25","    12155.50","    11885.75","    11902.85","       13881289","         1485.38"
"03-Jun-2015","    11920.25","    11930.80","    11660.05","    11746.60","       11037574","         1134.24"
"04-Jun-2015","    11736.45","    11795.55","    11513.20","    11633.15","       11092304","         1139.89"
"05-Jun-2015","    11641.35","    11834.15","    11641.35","    11715.85","        8830379","          903.92"
"08-Jun-2015","    11735.50","    11771.95","    11554.20","    11585.10","        6801140","          706.94"
"09-Jun-2015","    11523.10","    11531.95","    11358.60","    11379.90","        8866053","          928.03"
"10-Jun-2015","    11386.90","    11556.30","    11386.90","    11477.40","        7957772","          787.47"
"11-Jun-2015","    11539.75","    11599.15","    11280.30","    11308.15","        9697118","          973.88"
"12-Jun-2015","    11346.05","    11347.65","    11233.95","    11328.45","        6708712","          661.95"
"15-Jun-2015","    11372.95","    11537.50","    11291.40","    11451.10","        7664869","          763.41"
"16-Jun-2015","    11490.35","    11505.40","    11383.75","    11473.70","        7636996","          824.62"
"17-Jun-2015","    11548.40","    11731.30","    11532.00","    11678.95","       12801273","         1306.28"
"18-Jun-2015","    11726.85","    11889.75","    11711.60","    11836.15","       10617743","         1141.25"
"19-Jun-2015","    11887.10","    11905.45","    11789.90","    11810.00","        8836351","          974.78"
"22-Jun-2015","    11875.50","    11924.50","    11858.40","    11879.35","        6620392","          732.25"
"23-Jun-2015","    11927.20","    11972.40","    11883.30","    11910.25","        6923520","          762.69"
"24-Jun-2015","    11940.20","    12081.65","    11940.20","    11997.55","       11344863","         1304.92"
"25-Jun-2015","    11990.00","    12054.80","    11973.65","    12007.25","       16189862","         1897.74"
"26-Jun-2015","    12021.20","    12090.90","    12002.90","    12066.85","        7336028","          783.93"
"29-Jun-2015","    11887.65","    11938.60","    11776.00","    11926.40","        5810146","          664.80"
"30-Jun-2015","    11949.25","    12226.75","    11936.00","    12202.55","       11240321","         1282.19"
"01-Jul-2015","    12263.35","    12367.65","    12229.85","    12257.10","        7538537","          875.97"
"02-Jul-2015","    12334.20","    12334.20","    12171.55","    12193.80","        6492139","          777.98"
"03-Jul-2015","    12245.75","    12355.85","    12236.00","    12264.85","        4848165","          592.64"
"06-Jul-2015","    12042.55","    12475.30","    12042.55","    12463.90","        6726848","          839.48"
"07-Jul-2015","    12482.90","    12543.35","    12406.85","    12490.50","        6811120","          867.63"
"08-Jul-2015","    12422.60","    12497.20","    12311.20","    12390.50","        7684191","          927.99"
"09-Jul-2015","    12401.50","    12520.30","    12380.40","    12399.35","        6136975","          682.76"
"10-Jul-2015","    12470.80","    12570.40","    12393.30","    12537.25","        8086117","          900.31"
"13-Jul-2015","    12622.45","    12757.80","    12620.10","    12697.80","        7507943","          860.67"
"14-Jul-2015","    12735.25","    12805.05","    12691.95","    12786.60","        6312853","          808.04"
"15-Jul-2015","    12815.05","    12928.70","    12792.10","    12912.35","        6225046","          771.92"
"16-Jul-2015","    12955.55","    13084.00","    12932.95","    13060.35","        5680216","          696.88"
"17-Jul-2015","    13120.65","    13179.90","    13098.50","    13139.00","        6551491","          845.27"
"20-Jul-2015","    13184.75","    13201.25","    13130.20","    13175.65","        4769868","          546.79"
"21-Jul-2015","    12731.80","    12731.80","    12231.35","    12255.30","       37599412","         3259.89"
"22-Jul-2015","    12244.85","    12406.95","    12244.85","    12377.70","       17702573","         1690.83"
"23-Jul-2015","    12435.45","    12435.60","    12233.55","    12275.40","       12236176","         1657.39"
"24-Jul-2015","    12298.40","    12360.90","    12180.80","    12226.05","       10576244","         1294.41"
"27-Jul-2015","    12219.25","    12247.10","    12048.25","    12056.90","        9842678","         1167.80"
"28-Jul-2015","    12104.15","    12142.15","    11896.55","    11917.15","        9428819","         1161.33"
"29-Jul-2015","    11945.05","    11992.10","    11872.60","    11978.40","       10052007","         1145.64"
"30-Jul-2015","    12049.10","    12095.15","    11954.05","    12073.10","       14243257","         1715.83"
"31-Jul-2015","    12170.75","    12381.55","    12170.75","    12353.25","       11774578","         1373.95"
"03-Aug-2015","    12371.40","    12409.15","    12321.90","    12379.50","        6550061","          771.76"
"04-Aug-2015","    12441.00","    12441.00","    12278.60","    12361.95","        8168014","          958.12"
"05-Aug-2015","    12419.45","    12594.45","    12399.70","    12572.55","        7335166","          818.72"
"06-Aug-2015","    12621.95","    12788.85","    12621.95","    12697.50","        9690660","         1097.48"
"07-Aug-2015","    12745.70","    12749.55","    12627.05","    12641.05","        6695252","          717.85"
"10-Aug-2015","    12718.55","    12784.35","    12588.15","    12638.60","        6966054","          831.55"
"11-Aug-2015","    12691.40","    12691.40","    12570.40","    12636.90","        8054769","          883.28"
"12-Aug-2015","    12661.50","    12908.20","    12661.50","    12771.75","       12430053","         1337.33"
"13-Aug-2015","    12832.85","    12983.55","    12832.85","    12913.70","       11346470","         1197.29"
"14-Aug-2015","    13044.15","    13238.95","    13028.25","    13137.25","       16175276","         1734.36"
"17-Aug-2015","    13200.45","    13200.45","    12959.70","    13089.55","       15563000","         1442.58"
"18-Aug-2015","    13139.60","    13168.35","    12958.20","    12980.10","       12928983","         1340.21"
"19-Aug-2015","    13042.35","    13355.35","    13042.35","    13335.85","       14829724","         1672.79"
"20-Aug-2015","    13455.40","    13753.50","    13422.90","    13463.75","       18812824","         2394.09"
"21-Aug-2015","    13405.30","    13534.30","    13155.70","    13470.00","       12938027","         1556.39"
"24-Aug-2015","    13068.40","    13311.90","    12605.45","    12653.30","       18492696","         1924.54"
"25-Aug-2015","    12889.35","    12978.80","    12149.90","    12772.40","       19233490","         1995.21"
"26-Aug-2015","    12819.90","    12949.45","    12566.75","    12623.05","       13515511","         1545.94"
"27-Aug-2015","    12902.30","    13024.20","    12786.40","    12995.75","       16854130","         1880.93"
"28-Aug-2015","    13175.70","    13230.85","    12793.75","    12940.75","       15786871","         1685.69"
"31-Aug-2015","    12970.80","    13251.50","    12893.65","    13213.20","       36356499","         3978.58"
"01-Sep-2015","    13094.45","    13252.00","    12922.05","    13007.05","       12669869","         1442.81"
"02-Sep-2015","    13121.15","    13149.65","    12810.60","    12840.35","       13045263","         1404.34"
"03-Sep-2015","    12953.95","    12971.95","    12790.15","    12817.40","        9919873","         1034.01"
"04-Sep-2015","    12909.65","    12911.10","    12453.20","    12521.55","       14140529","         1524.57"
"07-Sep-2015","    12592.45","    12622.35","    12209.95","    12240.00","        8200103","          842.26"
"08-Sep-2015","    12271.20","    12366.40","    11933.55","    12329.50","       11617261","         1175.92"
"09-Sep-2015","    12520.05","    12551.45","    12280.25","    12360.05","        8108697","         1012.34"
"10-Sep-2015","    12253.15","    12360.00","    12129.75","    12315.00","        8679071","         1012.60"
"11-Sep-2015","    12391.05","    12457.65","    12282.80","    12341.85","        7372237","          809.41"
"14-Sep-2015","    12423.05","    12509.15","    12324.70","    12495.20","        6595379","          762.10"
"15-Sep-2015","    12519.80","    12562.95","    12432.10","    12478.80","        8288293","          866.92"
"16-Sep-2015","    12583.05","    12663.80","    12557.50","    12623.80","       10725615","         1172.04"
"18-Sep-2015","    12759.95","    12810.20","    12650.40","    12751.20","       13393655","         1508.45"
"21-Sep-2015","    12726.35","    12759.80","    12660.20","    12706.30","        7632855","          830.57"
"22-Sep-2015","    12811.40","    12815.00","    12590.75","    12662.80","       10655620","         1136.07"
"23-Sep-2015","    12588.25","    12774.90","    12482.30","    12731.55","        7749285","          836.89"
"24-Sep-2015","    12789.10","    12887.85","    12789.10","    12826.45","       14091340","         1675.21"
"28-Sep-2015","    12894.85","    12959.15","    12714.75","    12844.20","       12229396","         1568.48"
"29-Sep-2015","    12741.00","    12801.05","    12582.75","    12700.10","        9868805","         1197.71"
"30-Sep-2015","    12820.80","    12937.75","    12794.25","    12918.75","       11619148","         1306.84"
"01-Oct-2015","    13050.15","    13183.05","    13042.10","    13140.85","       11534832","         1453.99"
"05-Oct-2015","    13212.50","    13233.85","    13058.05","    13149.00","        9345758","         1018.67"
"06-Oct-2015","    13247.40","    13394.45","    13228.25","    13275.75","       10193495","         1031.20"
"07-Oct-2015","    13315.65","    13345.55","    13205.70","    13332.40","        9994439","          983.71"
"08-Oct-2015","    13398.35","    13398.35","    13176.70","    13212.85","        9859504","          996.23"
"09-Oct-2015","    13299.50","    13333.60","    13197.40","    13277.70","        9982107","          988.60"
"12-Oct-2015","    13309.85","    13335.00","    13058.45","    13111.65","        7373435","          781.66"
"13-Oct-2015","    13128.20","    13169.90","    13026.90","    13115.40","        7288388","          792.29"
"14-Oct-2015","    13115.90","    13185.90","    13096.75","    13160.65","        7409348","          783.96"
"15-Oct-2015","    13215.40","    13261.10","    13138.70","    13168.60","        8260957","          903.79"
"16-Oct-2015","    13182.60","    13217.25","    13078.70","    13203.55","        6930384","          720.65"
"19-Oct-2015","    13221.70","    13425.15","    13190.85","    13413.65","        8277244","          866.42"
"20-Oct-2015","    13490.60","    13490.60","    13288.10","    13340.95","       12584397","         1288.94"
"21-Oct-2015","    13314.35","    13334.55","    13172.90","    13189.80","        8431739","          995.76"
"23-Oct-2015","    13331.10","    13331.10","    13236.05","    13258.50","       11853918","         1465.06"
"26-Oct-2015","    13335.10","    13335.10","    13183.30","    13234.65","        8909566","         1171.31"
"27-Oct-2015","    13163.00","    13270.05","    13136.85","    13223.00","       11458916","         1553.37"
"28-Oct-2015","    13185.40","    13186.60","    13049.00","    13149.15","       10198477","         1317.33"
"29-Oct-2015","    13170.95","    13185.55","    13031.40","    13052.00","       15977956","         1852.40"
"30-Oct-2015","    13124.30","    13241.80","    13085.45","    13170.15","       11339382","         1369.26"
"02-Nov-2015","    13094.40","    13098.60","    12927.20","    13029.70","        6926775","          808.47"
"03-Nov-2015","    13099.10","    13155.20","    13004.80","    13054.55","        7424127","          939.91"
"04-Nov-2015","    13094.70","    13116.30","    12901.55","    12923.90","        8878911","          953.36"
"05-Nov-2015","    12901.05","    12904.20","    12582.15","    12632.50","        9848551","          937.21"
"06-Nov-2015","    12644.45","    12755.40","    12205.30","    12226.65","       14415817","         2361.09"
"09-Nov-2015","    11877.20","    12031.65","    11753.30","    11989.05","       16691266","         1790.56"
"10-Nov-2015","    11949.85","    12010.20","    11605.95","    11618.30","       14534418","         1653.56"
"11-Nov-2015","    11674.00","    11769.20","    11651.90","    11752.90","        2139489","          312.66"
"13-Nov-2015","    11651.85","    11723.10","    11595.80","    11640.55","       15295989","         1647.39"
"16-Nov-2015","    11688.45","    11768.85","    11601.75","    11711.00","       11892444","         1263.03"
"17-Nov-2015","    11754.95","    11828.85","    11720.25","    11801.20","       11383464","         1073.41"
"18-Nov-2015","    11785.55","    11837.35","    11692.85","    11717.80","        9039813","          927.94"
"19-Nov-2015","    11790.75","    11811.75","    11576.75","    11674.95","       12246730","         1923.09"
"20-Nov-2015","    11690.45","    11723.90","    11599.40","    11685.35","       10902088","         1032.26"
"23-Nov-2015","    11709.30","    11749.50","    11652.05","    11717.15","       12058492","         1026.94"
"24-Nov-2015","    11711.90","    11738.65","    11603.90","    11637.85","       14518381","         1206.20"
"26-Nov-2015","    11567.20","    11669.10","    11536.20","    11553.30","       20477978","         2211.38"
"27-Nov-2015","    11620.95","    11630.80","    11497.20","    11567.55","       12917186","         1292.14"
"30-Nov-2015","    11535.50","    11561.15","    11483.10","    11492.90","       36111966","         2418.15"
"01-Dec-2015","    11542.80","    11620.25","    11536.30","    11608.70","       10458925","         1070.03"
"02-Dec-2015","    11681.50","    11743.45","    11617.60","    11723.35","       11825270","         1151.11"
"03-Dec-2015","    11697.90","    11697.90","    11567.55","    11587.30","        8922466","          829.84"
"04-Dec-2015","    11524.70","    11812.70","    11489.75","    11645.05","       31236514","         2492.72"
"07-Dec-2015","    11728.20","    11785.35","    11693.00","    11762.60","       11490063","         1007.30"
"08-Dec-2015","    11725.60","    11732.65","    11585.45","    11610.35","        8911193","          926.89"
"09-Dec-2015","    11560.45","    11592.40","    11351.45","    11372.05","       12858988","         1296.81"
"10-Dec-2015","    11449.55","    11449.55","    11202.15","    11368.15","       12690054","         1249.71"
"11-Dec-2015","    11391.50","    11503.10","    11311.20","    11383.50","        9673984","          940.97"
"14-Dec-2015","    11376.45","    11511.00","    11349.15","    11488.00","        8634448","          789.54"
