"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Apr-2015","     8704.10","     8730.15","     8584.95","     8666.40","       25892974","         1472.17"
"17-Apr-2015","     8654.10","     8658.70","     8547.35","     8558.20","       22038556","         1221.87"
"20-Apr-2015","     8587.90","     8589.50","     8344.60","     8398.60","       28355076","         1746.78"
"21-Apr-2015","     8406.30","     8444.30","     8247.10","     8284.90","       30698660","         1408.12"
"22-Apr-2015","     8316.20","     8317.70","     8133.65","     8280.30","       27864258","         1490.59"
"23-Apr-2015","     8337.65","     8360.05","     8194.90","     8228.80","       28867131","         1408.15"
"24-Apr-2015","     8242.50","     8250.30","     8132.90","     8164.45","       29516929","         1827.55"
"27-Apr-2015","     8193.00","     8205.55","     8016.60","     8118.65","       35648162","         2326.47"
"28-Apr-2015","     8133.35","     8334.70","     8117.50","     8315.40","       34357640","         1775.59"
"29-Apr-2015","     8335.30","     8341.40","     8254.00","     8278.50","       28440444","         1279.40"
"30-Apr-2015","     8264.45","     8265.40","     8171.80","     8188.20","       49122244","         2365.65"
"04-May-2015","     8260.40","     8350.30","     8244.00","     8330.20","       40244385","         1720.66"
"05-May-2015","     8350.05","     8381.75","     8295.40","     8327.20","       24057655","         1178.15"
"06-May-2015","     8304.90","     8314.60","     8064.90","     8089.85","       34499811","         1744.47"
"07-May-2015","     8065.45","     8102.75","     7917.75","     7986.25","       40707212","         1801.96"
"08-May-2015","     8060.50","     8212.25","     8058.10","     8199.25","       27809525","         1513.90"
"11-May-2015","     8273.10","     8439.05","     8273.10","     8427.55","       41768288","         1676.71"
"12-May-2015","     8422.70","     8422.70","     8256.05","     8277.50","       61323141","         2047.76"
"13-May-2015","     8348.95","     8448.60","     8269.20","     8413.40","       55575933","         2193.76"
"14-May-2015","     8404.45","     8495.65","     8307.20","     8485.50","       35435926","         1549.48"
"15-May-2015","     8508.00","     8570.80","     8498.50","     8539.55","       29914270","         1282.66"
"18-May-2015","     8537.75","     8614.05","     8494.65","     8600.05","       26501022","         1406.01"
"19-May-2015","     8579.25","     8637.50","     8513.95","     8531.30","       26001796","         1432.23"
"20-May-2015","     8554.05","     8582.40","     8465.85","     8484.80","       27544591","         1829.22"
"21-May-2015","     8498.15","     8554.65","     8462.70","     8549.60","       29246472","         1840.92"
"22-May-2015","     8560.25","     8589.00","     8531.15","     8581.65","       22421526","         1223.48"
"25-May-2015","     8557.70","     8622.90","     8533.00","     8565.10","       17042424","         1157.71"
"26-May-2015","     8575.00","     8578.90","     8520.00","     8548.15","       21523103","         1542.86"
"27-May-2015","     8410.70","     8447.45","     8347.15","     8369.90","       34298711","         2053.64"
"28-May-2015","     8392.80","     8427.40","     8329.05","     8379.30","       36447123","         2399.15"
"29-May-2015","     8398.60","     8556.15","     8351.20","     8536.75","       44463665","         5634.41"
"01-Jun-2015","     8527.00","     8548.80","     8465.60","     8509.35","       22243573","         1324.23"
"02-Jun-2015","     8515.35","     8521.25","     8308.00","     8325.05","       27439454","         1496.88"
"03-Jun-2015","     8314.80","     8321.75","     8108.60","     8191.60","       33223403","         1458.97"
"04-Jun-2015","     8193.05","     8195.90","     8064.40","     8130.45","       26795771","         1659.86"
"05-Jun-2015","     8089.55","     8160.15","     8046.90","     8092.30","       28505738","         1307.18"
"08-Jun-2015","     8085.50","     8085.50","     7988.75","     8006.15","       22993978","         1147.54"
"09-Jun-2015","     7968.05","     8014.65","     7934.60","     7953.65","       28112385","         1609.52"
"10-Jun-2015","     7963.35","     8120.60","     7948.40","     8104.05","       27782707","         1456.65"
"11-Jun-2015","     8137.60","     8137.60","     7892.50","     7909.00","       35939982","         1443.10"
"12-Jun-2015","     7889.70","     7925.25","     7843.45","     7905.25","       25924119","         1238.84"
"15-Jun-2015","     7939.95","     8026.65","     7919.40","     7996.20","       21460602","         1077.06"
"16-Jun-2015","     8015.55","     8116.00","     7947.50","     8090.85","       20334544","         1122.07"
"17-Jun-2015","     8130.15","     8204.70","     8066.65","     8160.95","       25337996","         1548.18"
"18-Jun-2015","     8175.65","     8269.20","     8157.70","     8258.65","       27663941","         1329.99"
"19-Jun-2015","     8277.75","     8356.50","     8253.35","     8305.35","       28037704","         2003.98"
"22-Jun-2015","     8337.80","     8412.95","     8337.80","     8400.70","       20192078","         1128.32"
"23-Jun-2015","     8414.45","     8444.25","     8375.65","     8405.80","       24742577","         1123.53"
"24-Jun-2015","     8429.15","     8429.15","     8301.90","     8326.95","       27384866","         1321.26"
"25-Jun-2015","     8304.80","     8420.95","     8295.55","     8395.95","       39800224","         1914.86"
"26-Jun-2015","     8397.90","     8459.10","     8359.90","     8447.20","       26233471","         1120.54"
"29-Jun-2015","     8285.75","     8340.85","     8220.55","     8325.05","       27829114","         1329.09"
"30-Jun-2015","     8328.45","     8391.70","     8301.15","     8383.25","       30579544","         1438.78"
"01-Jul-2015","     8401.30","     8519.45","     8375.15","     8482.45","       31128933","         1433.54"
"02-Jul-2015","     8508.80","     8582.15","     8481.70","     8528.60","       30541920","         1508.79"
"03-Jul-2015","     8552.90","     8586.00","     8475.25","     8493.50","       19497647","         1358.04"
"06-Jul-2015","     8380.05","     8536.20","     8375.55","     8517.95","       21478330","         1182.13"
"07-Jul-2015","     8540.55","     8566.65","     8457.35","     8488.90","       23959319","         1165.44"
"08-Jul-2015","     8415.50","     8415.50","     8265.70","     8287.30","       34755205","         1634.22"
"09-Jul-2015","     8276.65","     8313.95","     8240.90","     8248.55","       20993423","         1060.15"
"10-Jul-2015","     8273.25","     8301.80","     8214.70","     8234.10","       26409036","         1430.83"
"13-Jul-2015","     8292.75","     8377.70","     8233.95","     8370.75","       24482428","         1259.33"
"14-Jul-2015","     8393.50","     8393.50","     8268.15","     8305.70","       36337975","         1293.50"
"15-Jul-2015","     8321.75","     8415.85","     8320.35","     8403.20","       40201691","         1557.69"
"16-Jul-2015","     8410.15","     8446.25","     8406.75","     8434.55","       21275653","          999.87"
"17-Jul-2015","     8461.05","     8496.80","     8407.65","     8473.90","       24268475","         1030.45"
"20-Jul-2015","     8509.10","     8512.10","     8461.90","     8476.35","       29050065","          926.91"
"21-Jul-2015","     8484.30","     8516.45","     8420.15","     8440.45","       37138177","         1049.64"
"22-Jul-2015","     8431.20","     8562.30","     8406.85","     8538.80","       27259666","         1279.76"
"23-Jul-2015","     8561.15","     8610.15","     8522.85","     8581.35","       36618325","         1765.37"
"24-Jul-2015","     8567.95","     8576.80","     8457.60","     8472.05","       25188827","         1211.16"
"27-Jul-2015","     8433.00","     8433.00","     8294.20","     8305.65","       31993468","         1595.56"
"28-Jul-2015","     8316.75","     8329.60","     8236.80","     8259.50","       37535044","         1753.01"
"29-Jul-2015","     8307.45","     8381.90","     8286.30","     8368.90","       35853150","         1628.71"
"30-Jul-2015","     8434.60","     8476.70","     8370.95","     8387.50","       40353701","         1626.87"
"31-Jul-2015","     8433.10","     8566.20","     8425.20","     8544.85","       37125313","         1534.42"
"03-Aug-2015","     8572.00","     8647.05","     8541.80","     8609.65","       28145857","         1709.04"
"04-Aug-2015","     8655.10","     8720.30","     8576.50","     8703.60","       43815845","         2287.62"
"05-Aug-2015","     8727.25","     8840.35","     8719.00","     8795.45","       33627270","         1844.20"
"06-Aug-2015","     8799.85","     8813.15","     8727.60","     8796.95","       30064525","         1423.28"
"07-Aug-2015","     8789.10","     8862.40","     8772.95","     8803.00","       37244878","         1745.21"
"10-Aug-2015","     8762.55","     8837.35","     8712.50","     8745.60","       32909769","         1439.37"
"11-Aug-2015","     8765.30","     8765.30","     8574.95","     8619.25","       41606145","         1801.85"
"12-Aug-2015","     8576.85","     8576.85","     8391.55","     8407.15","       64786288","         1680.72"
"13-Aug-2015","     8446.70","     8519.15","     8413.30","     8441.55","       47712098","         1478.05"
"14-Aug-2015","     8495.45","     8650.90","     8466.35","     8642.10","       30570184","         1260.92"
"17-Aug-2015","     8654.85","     8683.25","     8538.55","     8615.45","       38193767","         1230.80"
"18-Aug-2015","     8639.60","     8684.50","     8605.00","     8662.55","       60274084","         1429.02"
"19-Aug-2015","     8657.25","     8727.90","     8603.30","     8703.30","       42041077","         1343.80"
"20-Aug-2015","     8660.60","     8695.45","     8533.25","     8553.55","       36851611","         1381.89"
"21-Aug-2015","     8482.55","     8482.55","     8310.95","     8381.70","       36140041","         1682.33"
"24-Aug-2015","     8080.90","     8083.20","     7710.15","     7773.45","       58221887","         2467.57"
"25-Aug-2015","     7836.65","     7956.45","     7597.35","     7920.35","       64724457","         2458.06"
"26-Aug-2015","     7888.20","     7996.00","     7784.40","     7882.10","       49616085","         2064.91"
"27-Aug-2015","     8015.80","     8022.10","     7898.95","     7952.35","       57393544","         2523.69"
"28-Aug-2015","     8051.40","     8069.20","     7971.35","     8023.30","       35131845","         1569.68"
"31-Aug-2015","     8005.35","     8033.00","     7930.70","     7948.55","       32442864","         1602.12"
"01-Sep-2015","     7877.50","     7937.10","     7678.20","     7745.40","       51045383","         1895.85"
"02-Sep-2015","     7780.45","     7795.55","     7622.65","     7638.70","       35708969","         1574.46"
"03-Sep-2015","     7698.35","     7787.65","     7676.30","     7738.60","       30091941","         1277.07"
"04-Sep-2015","     7710.60","     7712.10","     7503.00","     7559.45","       41382909","         1380.67"
"07-Sep-2015","     7592.55","     7617.65","     7449.45","     7464.30","       35135964","         1099.80"
"08-Sep-2015","     7491.50","     7626.90","     7413.20","     7589.00","       46892570","         1498.04"
"09-Sep-2015","     7698.45","     7855.30","     7693.20","     7814.85","       43420978","         1603.57"
"10-Sep-2015","     7717.85","     7914.95","     7616.70","     7875.85","       38035549","         1410.60"
"11-Sep-2015","     7932.35","     7968.10","     7832.15","     7857.45","       37325279","         1263.82"
"14-Sep-2015","     7902.10","     7915.70","     7817.45","     7890.75","       22580761","          852.14"
"15-Sep-2015","     7889.00","     7893.60","     7753.00","     7766.20","       25877655","         1388.61"
"16-Sep-2015","     7820.25","     7835.45","     7764.55","     7799.10","       28410585","         1448.42"
"18-Sep-2015","     7814.40","     7939.75","     7809.60","     7842.55","       42192996","         2121.57"
"21-Sep-2015","     7772.45","     7868.50","     7772.45","     7848.75","       30578891","         1442.44"
"22-Sep-2015","     7892.30","     7901.95","     7681.75","     7709.85","       69676377","         2352.64"
"23-Sep-2015","     7620.50","     7743.80","     7611.50","     7705.55","       51018069","         2092.18"
"24-Sep-2015","     7710.90","     7778.65","     7689.35","     7721.25","       54437711","         2412.32"
"28-Sep-2015","     7749.55","     7749.55","     7569.80","     7584.25","       38636639","         1537.17"
"29-Sep-2015","     7491.95","     7761.15","     7475.10","     7648.20","       45815140","         2310.81"
"30-Sep-2015","     7691.60","     7772.10","     7672.45","     7759.60","       41894368","         2083.58"
"01-Oct-2015","     7816.75","     7816.75","     7699.75","     7731.55","       39109030","         1820.72"
"05-Oct-2015","     7787.15","     7911.15","     7784.90","     7890.45","       50324071","         2502.02"
"06-Oct-2015","     7957.65","     7965.00","     7908.90","     7947.65","       48166978","         2136.43"
"07-Oct-2015","     7949.05","     8081.55","     7923.55","     8064.05","       50681139","         1934.96"
"08-Oct-2015","     8098.00","     8098.00","     8007.00","     8021.75","       37920206","         1931.69"
"09-Oct-2015","     8074.00","     8108.80","     8013.85","     8051.20","       32405633","         1529.62"
"12-Oct-2015","     8070.05","     8120.90","     8043.00","     8062.60","       35754190","         1483.26"
"13-Oct-2015","     8059.90","     8093.35","     8027.30","     8078.20","       31603215","         1412.64"
"14-Oct-2015","     8052.20","     8065.00","     8000.25","     8010.55","       27747009","         1200.89"
"15-Oct-2015","     8049.65","     8200.25","     8049.65","     8193.40","       40262510","         1854.98"
"16-Oct-2015","     8245.80","     8280.45","     8206.10","     8266.65","       37147728","         1719.71"
"19-Oct-2015","     8269.00","     8269.00","     8205.00","     8245.55","       22257886","         1131.22"
"20-Oct-2015","     8260.00","     8338.00","     8228.15","     8265.40","       41737570","         1948.45"
"21-Oct-2015","     8262.05","     8303.60","     8209.25","     8285.15","       30032180","         1534.19"
"23-Oct-2015","     8337.50","     8369.90","     8222.85","     8228.30","       28976536","         1360.69"
"26-Oct-2015","     8265.85","     8294.90","     8222.50","     8232.25","       24444435","         1200.36"
"27-Oct-2015","     8218.40","     8280.30","     8215.95","     8272.35","       33037014","         1806.82"
"28-Oct-2015","     8266.45","     8281.35","     8184.35","     8206.15","       47149642","         2149.88"
"29-Oct-2015","     8220.35","     8240.00","     8179.10","     8195.90","       51930437","         2705.78"
"30-Oct-2015","     8188.25","     8192.10","     8078.40","     8091.95","       38984057","         1673.75"
"02-Nov-2015","     8132.60","     8164.50","     8066.80","     8097.10","       39793227","         1562.10"
"03-Nov-2015","     8140.90","     8141.65","     8074.50","     8102.90","       41233173","         1318.45"
"04-Nov-2015","     8160.50","     8269.50","     8160.50","     8235.75","       45849962","         1650.56"
"05-Nov-2015","     8224.05","     8261.55","     8180.90","     8194.15","       70765891","         1671.04"
"06-Nov-2015","     8173.95","     8215.55","     8087.55","     8144.45","       49153059","         1922.50"
"09-Nov-2015","     7921.75","     8265.25","     7921.75","     8246.20","       59004596","         2382.82"
"10-Nov-2015","     8230.55","     8305.00","     8217.95","     8257.70","       36670424","         1744.16"
"11-Nov-2015","     8299.50","     8330.20","     8290.25","     8303.95","        5629613","          201.32"
"13-Nov-2015","     8263.80","     8278.00","     8164.85","     8178.30","       40270413","         1805.71"
"16-Nov-2015","     8155.60","     8236.55","     8110.05","     8190.35","       29977007","         1512.71"
"17-Nov-2015","     8221.30","     8287.55","     8199.50","     8252.10","       36171120","         1474.43"
"18-Nov-2015","     8253.95","     8289.05","     8172.85","     8181.00","       28066566","         1386.64"
"19-Nov-2015","     8252.25","     8315.30","     8233.70","     8295.05","       29113545","         1641.04"
"20-Nov-2015","     8308.05","     8392.20","     8287.65","     8339.40","       28958499","         1768.85"
"23-Nov-2015","     8335.10","     8410.55","     8329.65","     8395.35","       31334056","         1668.64"
"24-Nov-2015","     8368.90","     8396.75","     8323.25","     8332.90","       31854630","         1854.42"
"26-Nov-2015","     8360.80","     8460.85","     8339.95","     8444.60","       53805762","         2803.08"
"27-Nov-2015","     8493.50","     8530.15","     8436.75","     8443.65","       41513391","         2002.06"
"30-Nov-2015","     8468.40","     8563.65","     8443.95","     8481.85","      166567419","         7704.59"
"01-Dec-2015","     8527.20","     8527.20","     8403.00","     8419.00","       37302119","         1855.38"
"02-Dec-2015","     8429.80","     8437.45","     8387.90","     8416.40","       41159693","         1908.41"
"03-Dec-2015","     8388.95","     8400.45","     8323.95","     8334.65","       36135954","         1473.34"
"04-Dec-2015","     8286.10","     8309.35","     8228.85","     8240.70","       40924540","         1524.07"
"07-Dec-2015","     8276.60","     8288.75","     8197.80","     8221.50","       26231731","         1207.96"
"08-Dec-2015","     8191.95","     8271.50","     8181.55","     8210.35","       27950224","         1205.92"
"09-Dec-2015","     8199.25","     8212.80","     8059.95","     8067.90","       28443525","         1378.30"
"10-Dec-2015","     8123.80","     8123.80","     8006.55","     8085.00","       33505053","         1360.48"
"11-Dec-2015","     8106.00","     8113.80","     7892.95","     7943.25","       31347884","         1252.25"
"14-Dec-2015","     7858.75","     7988.95","     7797.65","     7964.05","       33541768","         1456.52"
